BWBWGYGYOOOORRRRWGWGYBYB, R'
GWWRYOYYWBOOYRGROGGWBBRB, L
RRRROOOOWWBBYYGGGGWWYYBB, B'
OORROORRGWYBYBGWGGWWBBYY, D
BWRRGOYOOWBYYRWWGGOBRGYB, F'
BWRROYOGOWWWYRBYGGGRBOYB, F
RBRWOOGYGGOBBYGRYRWWYBWO, B'
WRBROOGYBYOBGGGROWWWYBRY, B
RGBGGYOBWOBORRGYWYWOYRBW, R'
RYBBGGOGWOBOYGRRWRWWYYBO, R
YRBWWYWOBWOORYRGRGBGGYOB, R'
WRWWYYBOOOWBRYRGGGOGRYBB, L
YGBWGYWBROROROROWGWGBYBY, D'
RRBWOGOYWOYYRYWGWGBOGRBB, F'
RRBWYOGOWOWGRYYYWGRGOBBB, F
BRWRGYOOWGBOBBRGRYWGYYOW, B'
RWRBGYOOBBBOWGRGWOWGYYYR, B
OGBGGBRYGOYORRWBWYWRBOYW, R'
OBBYGGRGGOYOBWRRWOWWBYYR, R
BOYWWYWRYGOORBRWOGBGGBRY, R'
WOWWBYYROOGYRBRWGGRGOBBY, L
OOBWRGRYGOBBRBWGWGYOWRYY, F'
OOBWYRGRGOWGRBBBWGRWOYYY, F
BOWOGYRRWGYOYYRWRBWGBBOG, B'
OWOBGYRRYYYOWGRWGOWGBBBR, B
BGBOGRYBOOBYWRGRWGOYRWYW, R'
BRBBGGYOOOBYRGRWWWOWRGYY, R
RWYWWGOYBOYORRWGBGBOGRYB, R'
WWOWRGYYOYOBRRWGGGYOBRBB, L
BWYOWRYYOGBGBRWGOWOGRRYB, U'
BWRWOYYYOWBBGRGGGOWORRYB, U
RGBWGGOBWOBYRYWYWGOOYRBR, D'
BOBWGGGRYOYYRBWWWGOORBRY, D
BWBWYGYGOORRRROOWGBYGWYB, F'
BBWWGGYYWGBYBYWGRROORROO, F'
WWBBGGYYBYBYWGWGOOOORRRR, F'
BGBRYOGBOOWGBRYRWYRGOWYW, R'
BOBBYGGROOWGRYRBWWRWOYYG, R
OWYWWYRGWOGORRBYBGBRYOGB, L'
WWRWOYYGOGOWRRBYYGGRBOBB, L
BWGOBRGGOYWYBRWYRWRGOOYB, U'
BWRBOGGGOWWBYRYYGRWROOYB, U
RYBWYYOWWOBGRGBGWGRRYOBO, D'
WOBWYYYRGOGGRBBWWGRROBOY, D
BBWWYYGGWGWGBYBYRRRROOOO, U'
WWBBYYGGBYWGWGBYOORROORR, F
BRWGGBGOWGOORBRYRYWYYBOW, R'
BBWOGRGGWGOOYRBRRBWWYYOY, L
YBOWRYWYOWOGBYRRBRWGGBGO, L'
RBWWYYOYGOWOBYRRGRGGBBWO, L
BBOGRBGYWGOYWYWRWRGRYBOO, U'
BBBRGOGYWWOWYYGRRGRWYBOO, U
YRWWGYWOBGBOBYRGRRWGOYOB, D'
OWWWGYRYGGYOBBRBRRWGBOYO, D
WBWBGYGYRROOOORRBYWGYBGW, B
WOBGGBGRBYOORWRGOYWYYWRB, R'
WBBRGOGGBYOOGRWROWWBYYRY, L
YWRBOYWYOBOYWGRRWOBGGBGR, L'
OWWBYYRYYOBOWGRRGOGGWBBR, L
WWOYRWGYBGOYBGBRWOGOYBRR, U'
WWWRYOGYBBOBYGGROGOWYBRR, U
GRBBGYBOWYWOWYRGOOWGRYRB, D'
OBBBGYRGGYYOWWRWOOWGBRYR, D
GYGYBWBWOOOORRRRYBYBWGWG, L'
YYOORRWWOWOWYRYRBBBBGGGG, U'
YYRROOWWOYOYWRWRBBBBGGGG, U
RRYYWWOOYOYORWRWBBBBGGGG, D'
OOYYWWRRWOWORYRYBBBBGGGG, D
YYYYWWWWOOGGRRBBBBOORRGG, F'
YYYYWWWWOOBBRRGGBBRROOGG, F
YYYYWWWWBBOOGGRRRRBBGGOO, L'
YYYYWWWWGGOOBBRROOBBGGRR, B
WYOORRYWOYOWWRYRGGBBBGBG, U'
WYRROOYWOYOWWRYRBBGGBGBG, U
RRWYYWOOYOWORWRYGBGBBBGG, D'
OOWYYWRRYOWORWRYGBGBGGBB, D
WYWYYYWWOOGBRRGBGBOORRBG, F'
WYWYWWYYOOGBRRGBGBRROOBG, F
WWYYYWYWGBOOGBRRRRGBBGOO, B'
YYWWYWYWGBOOGBRROOGBBGRR, B
BWOBRGGGOGOWYBRRWRBWYYYO, R'
BGOGRWGBOGOWRRBYWYBOYRYW, R
YYYOWRBWOOWGBRYRBWOBRGGG, L'
WYBOYRYWGWOOBRYRRWGBBGOG, L
BYWGYBGWORORORORBWBWYGYG, U'
RROORROOYGBWBWYGWWBBYYGG, D'
OOOORRRRGGWWBBYYWWBBGGYY, F
BYOOGRWROGGYBRBBWWOWRYYG, F'
BYOORWRGOGBBBRGYWWYRWOYG, F
OBOYRRGWWWOWGYYRBRBBYGGO, B'
YOBORRGWGYOWWWYROGBBYGRB, B
BBRWOGGGOYOBGWRRBOWWYYYR, R'
BGRGOBGWOYOBRRWGBYWRYOYW, R
YYYRBOWWOOBYWRGRBBRWOGGG, L'
BYWRYOYWYBOOWRGROBGWBGRG, R
RRRROOOOYYBBWWGGBBWWYYGG, B
OORROORRGYWBWBGYBBWWGGYY, U
BYRRGOWOOYGYWRWWBBOBRGYG, F'
BYRROWOGOYWWWRGYBBGRBOYG, F
RBRYOOGWBBOBGYGRWRWWYGYO, B'
YRBROOGWGYOBBBGROYWWYGRW, B
RBBBGYOGYOBORRGWWWWOYRGY, R'
RYBGGBOBYOBOWGRRWRWYYWGO, R
YRGYWWWOBYOORWRGRBBBGYOG, L'
WRWYYWGOOOYBRWRGGBOBRYBG, R
WGBYGWYBROROROROWBWBGYGY, D
RRBYOGOWYOYYRWWBWBBOGRGG, F'
RRBYWOGOYOWBRWYYWBRGOBGG, F
BRYRGWOOWBBOGGRGRWWBYYOY, B'
RYRBGWOOGGBOWBRGYOWBYYWR, B
OBBBGGRYGOWORRYBWWWRGOYY, L'
OGBYGBRBGOWOBYRRWOWYGWYR, R
GOYYWWWRWGOORBRYOBBBGGRY, L'
WOWYGWYROOGWRBRYGBRBOGBY, L
OOBYRGRWGOGGRBWBWBWOYRYY, F'
OOBYWRGRGOWBRBGGWBRYOWYY, F
BOYOGWRRWBWOYYRYRBWBGGOG, B'
OYOBGWRRYYWOWBRYGOWBGGBR, B
BBBOGRWGOOGYWRBRWGOWRYYY, R'
BRBGGBWOOOGYRBRWWYOYRGYW, R
RYYYWGOWGOYORRWBBBBOGRWG, L'
WYOYRGYWOYOGRRWBGBWOBRBG, L
BYYOWRWWOGGGBRYBOWOBRRYG, U'
BYRWOYWWOYGBGRGBBOWORRYG, U
RBBYGGOGYOBYRWWWWBOOYRGR, D'
GOBYGGBRWOWYRBWYWBOORGRY, D
BYBYWGWGOORRRROOWBGYBWYG, F
BBYYGGWWWBGYGYWBRROORROO, B'
YYBBGGWWGYGYWBWBOOOORRRR, F'
BBBRWOGGOOWBGRYRWWRGOYYY, R'
BOBGWBGROOWBRYRGWYRYOWYG, R
OYYYWWRGWOBORRGYBBBRWOGG, L'
WYRYOWYGOBOWRRGYWBGRBOBG, L
BYBOGRGGOWWWBRYYRWRBOOYG, U'
BYRGOBGGOYWBWRWYBRWROOYG, U
RYBYWWOWYOBBRGGGWBRRYOGO, D'
WOBYWWYRGOGBRBGYWBRROGOY, D
BBYYWWGGWBWBGYGYRRRROOOO, U
YYBBWWGGGYWBWBGYOORROORR, F
BRYBGGGOWBOORGRYRWWWYBOY, R'
BGYOGRGBWBOOYRGRRBWYYWOW, R
YBOYRWWWOWOBGYRRBRYBGGGO, L'
RBWYYWOWBOWOGYRRGRGBBGYO, R
BBOBRGGWWGOWYYYRWRBRYGOO, U'
BBGRBOGWWYOYWYGRRBRWYGOO, U
YRYYGWWOBBBOGWRGRRWBOYOG, D'
OWYYGWRYGBWOGBRBRRWBGOYO, D
YBYBGWGWRROOOORRGYWBYGBW, B
YOBBGGGRGYOORWRBOWWWYYRB, L'
YGBRGOGBGYOOBRWROYWBYWRW, R
YYRBOWWWOGOYWBRRYOBBGGGR, L'
OYWBYWRWYOGOWBRRGOGBYGBR, R
YYOYRWGWGGOWBBBRWOBOYGRR, U'
YYWRYOGWGBOBWBGROBOWYGRR, U
BRBBGWGOYYYOWWRGOOWBRYRG, D'
OGBBGWRBGYWOWYRYOOWBGRYR, D
GBOORRBGOBOGGRBRYYWWWYWY, U'
GBRROOBGOBOGGRBRWWYYWYWY, U
RRGBBGOOBOGORGRBYWYWWWYY, D'
OOGBBGRRBOGORGRBYWYWYYWW, D
GBGBBBGGOOYWRRYWYWOORRWY, F'
GBGBGGBBOOYWRRYWYWRROOWY, F
GGBBBGBGYWOOYWRRRRYWWYOO, B'
BBGGBGBGYWOOYWRROOYWWYRR, B
YYOYRBWWOWOGRRYBBBWOGRGG, R
GBGOBRWGOOGWYRBRYBOWRYWY, L'
YBGWBYWGORORORORWBWBGYGY, U
RROORROOBWYGYGBWBBWWGGYY, U'
OOOORRRRWWGGYYBBBBWWYYGG, B'
YBOOWRGROWYGYRWWBBOGRBGY, F'
YBOORGRWOWWWYRYGBBBRGOGY, F
OYOBRRWGBBOGYGBRYRWWGYWO, B'
BOYORRWGYGOGBBBROWWWGYRY, B
YYRYOWWBOBOYRRGWWBBRGOGG, R
GBGRWOBGOOYBGRWRYWRBOYWY, L'
RRRROOOOBBYYGGWWWWBBGGYY, U
OORROORRWBGYGYWBWWBBYYGG, D
YBRRWOGOOBYGGRBBWWOYRWGY, F'
YBRROGOWOBBBGRYGWWWRYOGY, F
RYRBOOWGWWOYYGWRGRBBGYBO, B'
BRYROOWGYGOYWWWROBBBGYRG, B
RGYYWWOWBOYOGWRRBRBBGGYO, R
GRYBBGBOYBOORGRWRWYWWGOY, L'
GWYBWGBYROROROROBWBWYGYG, D'
RRYBOWOGBOGGRGBWBWYOWRYY, F'
RRYBGOWOBOBWRGGGBWRWOYYY, F
YRBRWGOOBWYOYYRWRGBWGGOB, B'
RBRYWGOOYYYOBWRWBOBWGGGR, B
OYYGWWRWWOGOYBRRBOBBYGGR, R
YOGBBGBRGWOORYRBOWYWWYRG, L'
OOYBRWRGWOYYRYBWBWGOBRGG, F'
OOYBGRWRWOBWRYYYBWRBOGGG, F
YOBOWGRRBWGOGGRBRYBWYYOW, B'
OBOYWGRRGGGOBWRBWOBWYYYR, B
YRYYWWGOOOYGRWRBBBOBRWGG, R
RBGBBWOGYOGORRBWYWYOWRGY, L'
YBGOBRGGOWYWYRBWOBOWRRGY, U'
YBRBOGGGOBYYWRWWWOBORRGY, U
RWYBWWOYBOYGRGBGBWOOGRYR, D'
YOYBWWWRGOGGRYBBBWOORYRG, D
YBYBGWGWOORRRROOBWYGWBGY, F'
YYBBWWGGBWYGYGBWRROORROO, F'
BBYYWWGGYGYGBWBWOOOORRRR, F'
YOYYGWWROOBWRGRYBBRBOGGW, R
OBGBBGRWBOWORRYGYWYRGOWY, L'
YBWOYRWWOGBGYRBGRBRWOOGY, U'
YBRYOWWWOBBYGRGGWRBROOGY, U
RGYBGGOBBOYWRWYWBWRRGOYO, D'
BOYBGGGRWOWWRYYBBWRROYOG, D
YYBBGGWWBWBWYGYGRRRROOOO, D'
BBYYGGWWYGBWBWYGOORROORR, F
YYBOWRWWBWOOGRYRRYBBGGOG, R
GYOBRGBGOBOWYGRRYRBWWYWO, L'
YYOWRYWGBWOGBGBRBRWRGYOO, U'
YYYRWOWGBBOBGGWRRWRBGYOO, U
GRBBWGBOYWYOYGRWRRBWOGOY, D'
OBBBWGRGWWGOYYRYRRBWYOGO, D
BYBYWGWGRROOOORRYGBWGYWB, B
BYYRWOWWYGOOWRBROBBYGGRG, R
GBRYOGBGOYOGBWRRBOYWWYWR, L'
BBOGRBWGYWOGYWYRBOWOGYRR, U'
BBBRGOWGYYOYGWWROWOBGYRR, U
WRYYWGYOBGBOBGRWOOBWRGRY, D'
OYYYWGRWWGGOBBRBOOBWYRGR, D
WGOWRYYYOYOGBWRRGRWGBBBO, R'
GBWOBRBGYGOOWRBRRGYWWYOY, L
WBGYBWYGORORORORWGWGBYBY, U'
RROORROOBYWGWGBYGGWWBBYY, D'
OOOORRRRYYGGWWBBGGWWYYBB, B
WBOOYRGROYYBWRWWGGOGRBBY, F'
WBOORGRYOYWWWRYBGGBRGOBY, F
OWOBRRYGGGOGYBBRWRWWBYYO, B'
BOWORRYGYBOGGGBROYWWBYRW, B
WWRGOYYYOBOWYGRRWOGGBBBR, R'
WBGRBOBGBWOOGRYROWYGWYRY, L
RRRROOOOBBWWGGYYWWGGBBYY, F
OORROORRYBGWGWYBWWGGYYBB, U
WBRRYOGOOBYBGRGGWWOWRYBY, F'
WBRROGOYOBGGGRYBWWYRWOBY, F
RWRBOOYGWWOWYBYRGRGGBYBO, B'
BRWROOYGYBOWWWYROBGGBYRG, B
RWWWYBOYBOWORRYGGGGOBRYB, R'
GRGBBGYOOOBWRGRYYWOWRBWY, L
GYWBYGBWROROROROGWGWYBYB, D
RRWBOYOGBOBBRGGWGWWOYRYY, F'
RRWBGOYOBOGWRGBBGWRYOWYY, F
WRBRYGOOGWWOYYRYRGGWBBOB, B'
RBRWYGOOYYWOGWRYBOGWBBGR, B
OWWWYYRBYOGORRBWGGGRYOBB, R'
GOGBYGBROOYGRWRBYWRWOYWB, L
OOWBRYRGYOYYRWGWGWGOBRBB, F'
OOWBGRYRYOGWRWYYGWRBOGBB, F
WOBOYGRRGWGOBBRBRWGWYYOY, B'
OBOWYGRRBBGOGWRBYOGWYYWR, B
WWWOYRGYOOYBGRWRGYOGRBBB, R'
GBOBRYBGOBOYRRGWYWGOWRWY, L
WBBOGRGGOYYYWRBWOGOWRRBY, U'
WBRGOBGGOBYWYRYWWOGORRBY, U
RWWBYYOYBOWBRGGGGWOOBRYR, D'
YOWBYYWRGOGBRWGBGWOORYRB, D
WBWBGYGYOORRRROOGWYBWGBY, F
WWBBYYGGGWYBYBGWRROORROO, B'
BBWWYYGGYBYBGWGWOOOORRRR, U
WWWRGOYYOOGWYRBRGGRYOBBB, R'
GBRBOGBYOWOGRRYBGWYRWOWY, L
WBWOYRYYOGGGWRBBRGRWOOBY, U'
WBRYOWYYOBGWGRGBWRGROOBY, U
RBWBGGOGBOWWRYYYGWRRBOYO, D'
GOWBGGBRYOYWRWYBGWRROYOB, D
WWBBGGYYGWGWYBYBRRRROOOO, B'
BBWWGGYYYBGWGWYBOORROORR, F
WRBWYYYOGWOORYRBRGGGBWOB, R'
RWGBBGOGWOGOYBRRYRYWWYBO, L
WWOWRYYGGYOGBBBRGRWRBYOO, U'
WWYRWOYGGBOBGBYRRWRGBYOO, U
BRBBYGGOWWWOYGRYRRGWOBOY, D'
OGBBYGRBYWGOYWRWRRGWYOBO, D
BWBWYGYGRROOOORRYBGWBYWG, B
BOWWYYYRYBOORGRWOGGGBBRW, R'
OBGWBGRGBOYOGWRRYOYWBYWR, L
BBOBRGYGYYOGWWWRGOWOBYRR, U'
BBGRBOYGYWOWGWYROWOGBYRR, U
WRWWYGYOBBBOGGRYOOGWRBRY, D'
OYWWYGRWYBGOGBRBOOGWYRBR, D
BROGRBGOOGOGRBRBWYWYYWYW, R
YWYWWYWYOOGGBBRRBROGRBGO, R'
BWGGRBGYOROYOBWRWWGRYBYO, U'
BWBRGGGYOWOOYBRRRGWWYBYO, U
BROWRYOOWGBGBYRGWRWGYYOB, U'
OOOWRYRBGGYGBBRWWRWGBOYY, D
BWOWGRYYOGBYBBWGWROGRRYO, F'
BWOWYYRGOGWGBBBYWRRRGOYO, F
OBWWRYGYWROGOYRRBBWGYBGO, B'
WWBORYGYOYOGWRRROGWGYBBB, B
WYWYYWYWGGOORRBBRBGOBROG, R
BYGGBRGWOROWORYBWWOBYRYG, U'
BYRBGGGWOYOOWRRBBOWWYRYG, U
RBOYRWOOYGBGRWBGWBWOYYGR, U'
OOOYRWBRGGWGRBBYWBWORGYY, D
BYOYGRWWOGRYRRWOWBOGBBYG, F'
BYOYWWRGOGWORRRYWBBBGOYG, F
OBYYRWGWWBOGGYBBRRWOYRGO, B'
YYBORWGWGYOGWBBBOGWOYRRR, B
RBGOBROGGOGOBRBRYWYWWYWY, L
YBGOBBWGOWGRYROROBWWRYGY, U'
YBBBOGWGOOGYRRWRWWBORYGY, D
RRYOWROGBOYGBGBWBWOWGRYY, U'
GOYOWRRRWOGGBYBBBWOWYYRG, D
YBYOWWGROOYRBROWBWGGRBGY, F'
YBYORGWWOOOWBRYRBWBRGGGY, F
YYOBWRWGBWGGYGBRBROWRYOO, B'
BOYYWRWGYGGGBWBROOOWRYRB, B
WBOGBBYGGYORWRORGRWWBYOY, U'
WBBBGOYGGOOWRRYRWWRGBYOY, U
RRWOYRGOBGWOBGBYRWGWOBYY, U'
OGWOYRRRYGGOBWBBRWGWYYBO, D
WBWOYYGRGGYBBRGWRWOORBOY, F'
WBWORGYYGGGWBRYBRWBROOOY, F
WWOBYRYGRWOOYOBRBRGWBYGG, B'
BOWWYRYGYOOORWBRGGGWBYRB, B
BWGWBYGYOROROORRWBWGYBYG, R'
BYGYBWGWORORRROOWBWGYBYG, R
YBYGWBWGOORRORORBWGWBYGY, L'
WBWGYBYGRROOORORBWGWBYGY, L
RRGGBBOOBRBROGOGWWWWYYYY, D'
OOGGBBRRGRGROBOBWWWWYYYY, D
BBGGGBGBORYYORWWWWORROYY, F'
BBGGBGBGORWWORYYWWORROYY, F
GBGBBBGGWWORYYORORWWYYRO, B'
BGBGBBGGYYORWWORORWWYYRO, B
RWOWRYOYBGBGBBGGWRWOYRYO, R'
RYOYRWOWBGBGGGBBWRWOYRYO, R
YRYOWRWOBBGGBGBGRWOWRYOY, L'
WRWOYRYOGGBBBGBGRWOWRYOY, L
GGOORRBBRGRGBOBOWWWWYYYY, D'
RROOORORBGYYBGWWWWBGGBYY, F'
RROOROROBGWWBGYYWWBGGBYY, F
ORORRROOWWBGYYBGBGWWYYGB, B'
RORORROOYYBGWWBGBGWWYYGB, B
OWOWRYRYGGGGBBBBWRWRYOYO, U'
OYOYRWRWGGGGBBBBWOWOYRYR, R
YOYOWRWRGGGGBBBBOWOWRYRY, U'
WOWOYRYRGGGGBBBBRWRWOYOY, L
BWOGGBGYOGYYWBWRWRORRBYO, R'
BBOYGWGGOGYYRWBWWBOORRYR, R
RBYOWRORYOYGBRWWBWOGGBGY, L'
WBOORRYRGYOYBRWWGWGGBBOY, L
BBYGWBGROGYROROWOWGWRBYY, U'
BBBWGYGROOYORRGWWGWORBYY, U
RWOOGROYBGBYBRWGWWOGYRYB, U'
YOOOGRWRGGRYBBWBWWOGBYRY, D
BBOOGGRROGBRBROGWWYYWWYY, F
OBOBGRGRWWYYYYWWBROGRBGO, F'
BOBOGRGRYYYYWWWWOGOGRBRB, F'
BWORRORYOGWWYBYRWGBGGBYO, R'
BOOYRWRROGWWRYBYWBBOGGYG, R
GBYOWGBGWOWGBRYYBWORRORY, L'
WBBOGGYGGWOWBRYYRWRRBOOY, L
BBWGYBRGORWGOROYBWRWGOYY, U'
BBBYGWRGOOWOGRRYWRWBGOYY, U
RYOORGOWBGBWBGYRWWBRYGYO, U'
WOOORGYRRGGWBBYBWWBROYGY, D
OBOBRGRGWWWWYYYYBRBRGOGO, L'
